SPX,GLD,USO,SLV,EUR/USD
2159.72998,120.779999,11.35,16.85,1.120825
863.159973,82.629997,30.0,10.16,1.393787
2176.120117,125.029999,10.73,17.67,1.115324
2166.580078,128.029999,9.9,19.370001,1.107346
1842.369995,120.260002,33.189999,19.379999,1.360711
2643.689941,125.980003,12.95,15.44,1.234766
1930.670044,123.389999,36.32,19.58,1.338993
1405.52002,160.130005,40.43,31.15,1.322926
1336.319946,134.100006,35.529999,29.959999,1.349856
1416.25,89.540001,74.25,16.280001,1.4869
895.099976,90.919998,37.41,13.62,1.394097
2151.330078,120.559998,11.43,16.700001,1.087548
1120.589966,106.550003,37.740002,16.809999,1.43361
1318.0,87.089996,110.919998,16.629999,1.557002
2106.629883,115.43,19.709999,15.63,1.06768
1277.0,93.059998,103.32,17.759001,1.569243
1790.619995,124.269997,33.93,20.049999,1.348963
1215.390015,157.770004,33.330002,29.73,1.377904
1402.430054,160.539993,33.040001,29.1,1.32503
2113.320068,120.110001,11.98,16.49,1.1324
1253.390015,93.529999,114.339996,18.120001,1.594896
2459.139893,117.290001,9.45,15.22,1.147434
2786.570068,125.540001,12.47,15.63,1.230663
1614.079956,120.050003,35.209999,18.68,1.297892
1924.23999,120.010002,37.639999,18.1,1.362101
1241.300049,156.979996,37.560001,28.77,1.300779
2141.340088,120.739998,11.43,16.639999,1.09304
1328.26001,138.669998,41.66,36.529999,1.41213
1258.51001,137.220001,38.91,29.530001,1.318965
1864.780029,118.360001,8.33,14.99,1.131798
1413.400024,90.900002,104.300003,17.5,1.578806
1867.719971,125.980003,36.189999,18.799999,1.393068
2802.560059,126.139999,12.78,16.059999,1.227129
1792.5,120.949997,34.689999,18.85,1.367465
2212.22998,111.43,11.29,15.85,1.075732
1871.890015,124.239998,37.639999,18.67,1.379501
2274.639893,114.209999,11.41,15.94,1.061684
1971.73999,124.959999,35.060001,18.870001,1.336112
1178.099976,110.260002,41.240002,17.540001,1.350494
1289.0,150.559998,40.139999,36.669998,1.451568
2365.719971,118.809998,10.26,15.71,1.111358
1767.689941,122.449997,33.639999,20.0,1.340932
1409.150024,169.610001,32.32,32.98,1.287515
1388.170044,90.25,94.379997,17.267,1.598798
1372.540039,91.169998,86.93,17.950001,1.557802
2294.669922,118.190002,11.23,16.84,1.067806
2670.290039,125.620003,13.92,15.67,1.220897
2347.219971,118.080002,11.41,17.15,1.060738
2110.73999,116.07,18.030001,15.84,1.136364
1402.890015,160.210007,40.66,31.209999,1.323767
2031.209961,109.879997,29.6,14.82,1.248003
1710.140015,122.830002,36.869999,20.5,1.355859
1515.98999,154.570007,33.400002,28.01,1.306592
1394.280029,159.570007,40.41,31.27,1.308044
872.799988,85.599998,29.1,10.64,1.402702
1296.670044,146.240005,36.419998,33.0,1.435791
2086.590088,102.260002,13.02,13.45,1.064101
1314.880005,157.119995,31.1,28.01,1.257387
1379.319946,156.490005,32.68,27.120001,1.229407
1115.22998,120.989998,35.23,18.190001,1.231194
1327.219971,137.660004,39.189999,33.110001,1.373438
1430.150024,160.330002,32.360001,29.0,1.323767
913.179993,84.459999,36.439999,11.03,1.406193
1125.859985,115.540001,36.48,17.959999,1.322506
1372.780029,153.050003,33.689999,26.42,1.227747
1136.939941,119.360001,33.880001,18.530001,1.217893
942.429993,93.830002,38.189999,15.03,1.398386
1939.380005,108.050003,9.02,13.67,1.082591
1315.219971,91.879997,84.370003,17.75,1.576094
1134.280029,126.199997,32.580002,20.709999,1.3391
890.640015,85.900002,30.200001,10.82,1.414007
1867.609985,109.160004,12.73,13.99,1.155095
1640.459961,119.510002,36.41,18.42,1.287101
1842.97998,125.489998,37.389999,18.879999,1.381196
908.109985,70.650002,56.599998,9.38,1.262993
1419.449951,164.369995,31.58,31.530001,1.306677
1253.300049,167.339996,35.740002,33.439999,1.414007
2108.949951,110.739998,17.719999,14.7,1.1008
750.73999,91.099998,28.23,12.79,1.28989
1403.280029,161.279999,39.290001,31.35,1.331381
2104.199951,113.910004,19.690001,16.02,1.088886
2047.209961,122.220001,11.92,16.41,1.131606
1246.959961,170.130005,38.779999,32.0,1.33241
